pfs_visit_id,arm,sps_module_id,pfs_design_id,time_exp_start
84436,r,1,3940907130413629120,2022-12-30 20:22:04.152103
84436,b,1,3940907130413629120,2022-12-30 20:22:04.152103
84437,r,1,3940907130413629120,2022-12-30 20:43:08.205443
84437,b,1,3940907130413629120,2022-12-30 20:43:08.205443
84438,r,1,3940907130413629120,2022-12-30 21:04:04.535176
84438,b,1,3940907130413629120,2022-12-30 21:04:04.535176
84439,r,1,3940907130413629120,2022-12-30 21:25:00.825156
84439,b,1,3940907130413629120,2022-12-30 21:25:00.825156
84440,r,1,3940907130413629120,2022-12-30 21:45:57.003513
84440,b,1,3940907130413629120,2022-12-30 21:45:57.003513
84441,r,1,3940907130413629120,2022-12-30 22:06:53.204303
84441,b,1,3940907130413629120,2022-12-30 22:06:53.204303
84442,r,1,3940907130413629120,2022-12-30 22:27:49.874247
84442,b,1,3940907130413629120,2022-12-30 22:27:49.874247
84443,r,1,3940907130413629120,2022-12-30 22:48:46.37265
84443,b,1,3940907130413629120,2022-12-30 22:48:46.37265
84444,r,1,3940907130413629120,2022-12-30 23:09:42.78706
84444,b,1,3940907130413629120,2022-12-30 23:09:42.78706
84445,r,1,3940907130413629120,2022-12-30 23:30:39.357697
84445,b,1,3940907130413629120,2022-12-30 23:30:39.357697
84446,r,1,3940907130413629120,2022-12-30 23:51:35.725762
84446,b,1,3940907130413629120,2022-12-30 23:51:35.725762
84447,r,1,3940907130413629120,2022-12-31 00:12:32.178904
84447,b,1,3940907130413629120,2022-12-31 00:12:32.178904
84448,r,1,3940907130413629120,2022-12-31 00:33:28.528948
84448,b,1,3940907130413629120,2022-12-31 00:33:28.528948
84449,r,1,3940907130413629120,2022-12-31 00:54:24.869882
84449,b,1,3940907130413629120,2022-12-31 00:54:24.869882
84450,r,1,3940907130413629120,2022-12-31 01:15:21.238005
84450,b,1,3940907130413629120,2022-12-31 01:15:21.238005
84451,r,1,3940907130413629120,2022-12-31 01:36:17.320595
84451,b,1,3940907130413629120,2022-12-31 01:36:17.320595
84452,r,1,3940907130413629120,2022-12-31 01:57:13.525532
84452,b,1,3940907130413629120,2022-12-31 01:57:13.525532
84453,r,1,3940907130413629120,2022-12-31 02:18:09.886544
84453,b,1,3940907130413629120,2022-12-31 02:18:09.886544
84454,r,1,3940907130413629120,2022-12-31 02:39:06.118381
84454,b,1,3940907130413629120,2022-12-31 02:39:06.118381
84455,r,1,3940907130413629120,2022-12-31 03:00:02.484569
84455,b,1,3940907130413629120,2022-12-31 03:00:02.484569
84456,r,1,3940907130413629120,2022-12-31 03:20:59.076748
84456,b,1,3940907130413629120,2022-12-31 03:20:59.076748
84457,r,1,3940907130413629120,2022-12-31 03:41:55.478448
84457,b,1,3940907130413629120,2022-12-31 03:41:55.478448
84458,r,1,3940907130413629120,2022-12-31 04:02:51.886075
84458,b,1,3940907130413629120,2022-12-31 04:02:51.886075
84459,r,1,3940907130413629120,2022-12-31 04:23:48.087688
84459,b,1,3940907130413629120,2022-12-31 04:23:48.087688
84460,r,1,3940907130413629120,2022-12-31 04:44:44.47901
84460,b,1,3940907130413629120,2022-12-31 04:44:44.47901
84461,r,1,3940907130413629120,2022-12-31 05:05:40.894115
84461,b,1,3940907130413629120,2022-12-31 05:05:40.894115
84462,r,1,3940907130413629120,2022-12-31 05:26:37.182028
84462,b,1,3940907130413629120,2022-12-31 05:26:37.182028
84463,r,1,3940907130413629120,2022-12-31 05:47:33.235886
84463,b,1,3940907130413629120,2022-12-31 05:47:33.235886
84464,r,1,3940907130413629120,2022-12-31 06:08:29.671466
84464,b,1,3940907130413629120,2022-12-31 06:08:29.671466
84466,r,1,3940907130413629120,2022-12-31 18:19:28.770205
84466,b,1,3940907130413629120,2022-12-31 18:19:28.770205
84467,r,1,3940907130413629120,2022-12-31 18:40:25.50291
84467,b,1,3940907130413629120,2022-12-31 18:40:25.50291
