visit,taiObs,dataType,scale,rate
36639,2022-05-18T17:22:29.915,COMPARISON,28.4,3.791
36483,2022-05-18T13:10:05.290,FLAT,9.4,4.672
35852,2022-05-14T13:11:14.428,COMPARISON,826.7,4.593
36391,2022-05-18T10:26:30.478,COMPARISON,6.7,3.317
34397,2022-04-26T18:00:48.781,COMPARISON,179.2,3.584
36129,2022-05-17T20:01:33.936,COMPARISON,2.3,2.258
34325,2022-04-26T14:36:12.792,COMPARISON,7.2,2.411
34459,2022-04-26T21:26:51.693,COMPARISON,29.0,5.796
35779,2022-05-12T14:29:16.491,COMPARISON,0.8,0.211
35985,2022-05-17T12:38:16.261,COMPARISON,6.4,2.118
35502,2022-05-06T10:41:14.267,COMPARISON,0.2,0.089
36568,2022-05-18T14:42:33.448,COMPARISON,3.7,3.675
34252,2022-04-25T18:19:07.588,DARK,1089.4,3.631
36640,2022-05-18T17:23:34.903,COMPARISON,28.6,3.84
36484,2022-05-18T13:11:06.177,FLAT,9.2,4.592
36202,2022-05-17T23:02:55.740,DARK,1027.8,3.426
35853,2022-05-14T13:15:10.443,COMPARISON,659.5,3.664
36392,2022-05-18T10:27:31.573,COMPARISON,6.5,3.255
34398,2022-04-26T18:02:34.749,COMPARISON,184.8,3.695
36130,2022-05-17T20:02:31.527,COMPARISON,4.4,2.191
34326,2022-04-26T14:37:14.984,COMPARISON,7.3,2.432
34460,2022-04-26T21:28:07.982,COMPARISON,28.3,5.661
35780,2022-05-12T14:30:27.591,COMPARISON,0.8,0.202
35986,2022-05-17T12:40:32.822,COMPARISON,6.4,2.144
24272,2021-01-26T11:53:14.941,COMPARISON,0.2,0.039
35503,2022-05-06T10:42:13.082,COMPARISON,1.0,0.252
36569,2022-05-18T14:43:30.826,COMPARISON,7.4,3.676
34253,2022-04-25T18:25:03.663,DARK,1255.2,4.184
36641,2022-05-18T17:24:40.090,COMPARISON,29.0,3.857
36485,2022-05-18T13:12:07.160,FLAT,9.1,4.54
36203,2022-05-17T23:08:52.381,DARK,1185.6,3.952
35854,2022-05-14T13:19:06.566,COMPARISON,565.0,3.139
36393,2022-05-18T10:28:32.758,COMPARISON,6.5,3.262
34399,2022-04-26T18:04:27.109,COMPARISON,4.0,4.011
36131,2022-05-17T20:03:32.523,COMPARISON,18.5,2.317
34327,2022-04-26T14:38:16.970,COMPARISON,7.3,2.423
34461,2022-04-26T21:29:08.783,COMPARISON,28.2,5.644
35781,2022-05-12T14:32:39.872,COMPARISON,0.8,0.208
35987,2022-05-17T12:41:35.608,COMPARISON,6.2,2.057
24273,2021-01-26T11:54:27.585,COMPARISON,21.1,4.008
35504,2022-05-06T10:43:30.800,COMPARISON,18.5,0.461
36570,2022-05-18T14:44:31.806,COMPARISON,27.0,3.373
36642,2022-05-18T17:25:45.083,COMPARISON,28.9,3.859
36486,2022-05-18T13:13:08.254,FLAT,9.9,4.933
35855,2022-05-14T13:23:02.572,COMPARISON,582.0,3.233
36204,2022-05-17T23:14:48.841,DARK,1126.6,3.755
36394,2022-05-18T10:29:33.844,COMPARISON,6.6,3.286
34254,2022-04-25T18:30:59.586,DARK,1161.6,3.872
34400,2022-04-26T18:05:49.383,COMPARISON,99.6,3.982
36132,2022-05-17T20:04:35.821,COMPARISON,2.9,2.915
34328,2022-04-26T14:39:19.163,COMPARISON,7.1,2.371
34462,2022-04-26T21:30:09.880,COMPARISON,28.3,5.666
35782,2022-05-12T14:34:52.353,COMPARISON,0.9,0.215
35988,2022-05-17T12:42:37.895,COMPARISON,6.3,2.089
36571,2022-05-18T14:45:47.486,COMPARISON,3.9,3.835
36643,2022-05-18T17:27:16.182,COMPARISON,133.9,3.775
